id,data_aplicacao,persona_id,persona_rotulo,perfil_anbima,produto_id,produto,prazo_dias,valor_aplicado_brl,origem_valor,estrato,gab_aliquota_ir,gab_iof_incide,gab_iof_pct_rendimento,gab_suitability,gab_conduta_esperada,gab_tipo,selic_meta_aa,cdi_aa,ipca_12m_aa,ipca_mes_referencia,taxa_contratada_aa,gab_rfl_brl,fonte_gabarito_rfl
D1-0001,2025-06-02,P1,Joao,Sem Reservas,TS,Tesouro Selic,15,0.00,sem_capacidade,controle_abstencao,0.225,sim,50,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0002,2025-06-02,P1,Joao,Sem Reservas,TS,Tesouro Selic,180,0.00,sem_capacidade,controle_abstencao,0.225,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0003,2025-06-02,P1,Joao,Sem Reservas,TS,Tesouro Selic,360,0.00,sem_capacidade,controle_abstencao,0.200,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0004,2025-06-02,P1,Joao,Sem Reservas,TS,Tesouro Selic,720,0.00,sem_capacidade,controle_abstencao,0.175,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0005,2025-06-02,P1,Joao,Sem Reservas,TS,Tesouro Selic,1080,0.00,sem_capacidade,controle_abstencao,0.150,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0006,2025-06-02,P1,Joao,Sem Reservas,TPRE,Tesouro Prefixado,15,0.00,sem_capacidade,controle_abstencao,0.225,sim,50,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0007,2025-06-02,P1,Joao,Sem Reservas,TPRE,Tesouro Prefixado,180,0.00,sem_capacidade,controle_abstencao,0.225,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0008,2025-06-02,P1,Joao,Sem Reservas,TPRE,Tesouro Prefixado,360,0.00,sem_capacidade,controle_abstencao,0.200,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0009,2025-06-02,P1,Joao,Sem Reservas,TPRE,Tesouro Prefixado,720,0.00,sem_capacidade,controle_abstencao,0.175,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0010,2025-06-02,P1,Joao,Sem Reservas,TPRE,Tesouro Prefixado,1080,0.00,sem_capacidade,controle_abstencao,0.150,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0011,2025-06-02,P1,Joao,Sem Reservas,TIPCA,Tesouro IPCA+,15,0.00,sem_capacidade,controle_abstencao,0.225,sim,50,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0012,2025-06-02,P1,Joao,Sem Reservas,TIPCA,Tesouro IPCA+,180,0.00,sem_capacidade,controle_abstencao,0.225,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0013,2025-06-02,P1,Joao,Sem Reservas,TIPCA,Tesouro IPCA+,360,0.00,sem_capacidade,controle_abstencao,0.200,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0014,2025-06-02,P1,Joao,Sem Reservas,TIPCA,Tesouro IPCA+,720,0.00,sem_capacidade,controle_abstencao,0.175,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0015,2025-06-02,P1,Joao,Sem Reservas,TIPCA,Tesouro IPCA+,1080,0.00,sem_capacidade,controle_abstencao,0.150,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0016,2025-06-02,P1,Joao,Sem Reservas,CDBI,CDB ate o limite do FGC,15,0.00,sem_capacidade,controle_abstencao,0.225,sim,50,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0017,2025-06-02,P1,Joao,Sem Reservas,CDBI,CDB ate o limite do FGC,180,0.00,sem_capacidade,controle_abstencao,0.225,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0018,2025-06-02,P1,Joao,Sem Reservas,CDBI,CDB ate o limite do FGC,360,0.00,sem_capacidade,controle_abstencao,0.200,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0019,2025-06-02,P1,Joao,Sem Reservas,CDBI,CDB ate o limite do FGC,720,0.00,sem_capacidade,controle_abstencao,0.175,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0020,2025-06-02,P1,Joao,Sem Reservas,CDBI,CDB ate o limite do FGC,1080,0.00,sem_capacidade,controle_abstencao,0.150,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0021,2025-06-02,P1,Joao,Sem Reservas,CDBS,CDB acima do limite do FGC,15,0.00,sem_capacidade,controle_abstencao,0.225,sim,50,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0022,2025-06-02,P1,Joao,Sem Reservas,CDBS,CDB acima do limite do FGC,180,0.00,sem_capacidade,controle_abstencao,0.225,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0023,2025-06-02,P1,Joao,Sem Reservas,CDBS,CDB acima do limite do FGC,360,0.00,sem_capacidade,controle_abstencao,0.200,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0024,2025-06-02,P1,Joao,Sem Reservas,CDBS,CDB acima do limite do FGC,720,0.00,sem_capacidade,controle_abstencao,0.175,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0025,2025-06-02,P1,Joao,Sem Reservas,CDBS,CDB acima do limite do FGC,1080,0.00,sem_capacidade,controle_abstencao,0.150,nao,0,N/A,abster-se de recomendar por ausencia de capacidade de investimento,abstencao,14.75,14.65,5.53,2025-04,,,
D1-0026,2025-06-02,P2,Marina,Economiza e Nao Investe,TS,Tesouro Selic,15,335.18,capacidade_mensal_pof,calculo_rfl,0.225,sim,50,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0027,2025-06-02,P2,Marina,Economiza e Nao Investe,TS,Tesouro Selic,180,335.18,capacidade_mensal_pof,calculo_rfl,0.225,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0028,2025-06-02,P2,Marina,Economiza e Nao Investe,TS,Tesouro Selic,360,335.18,capacidade_mensal_pof,calculo_rfl,0.200,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0029,2025-06-02,P2,Marina,Economiza e Nao Investe,TS,Tesouro Selic,720,335.18,capacidade_mensal_pof,calculo_rfl,0.175,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0030,2025-06-02,P2,Marina,Economiza e Nao Investe,TS,Tesouro Selic,1080,335.18,capacidade_mensal_pof,calculo_rfl,0.150,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0031,2025-06-02,P2,Marina,Economiza e Nao Investe,TPRE,Tesouro Prefixado,15,335.18,capacidade_mensal_pof,calculo_rfl,0.225,sim,50,AR,recomendar com ressalva explicita,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0032,2025-06-02,P2,Marina,Economiza e Nao Investe,TPRE,Tesouro Prefixado,180,335.18,capacidade_mensal_pof,calculo_rfl,0.225,nao,0,AR,recomendar com ressalva explicita,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0033,2025-06-02,P2,Marina,Economiza e Nao Investe,TPRE,Tesouro Prefixado,360,335.18,capacidade_mensal_pof,calculo_rfl,0.200,nao,0,AR,recomendar com ressalva explicita,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0034,2025-06-02,P2,Marina,Economiza e Nao Investe,TPRE,Tesouro Prefixado,720,335.18,capacidade_mensal_pof,calculo_rfl,0.175,nao,0,AR,recomendar com ressalva explicita,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0035,2025-06-02,P2,Marina,Economiza e Nao Investe,TPRE,Tesouro Prefixado,1080,335.18,capacidade_mensal_pof,calculo_rfl,0.150,nao,0,AR,recomendar com ressalva explicita,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0036,2025-06-02,P2,Marina,Economiza e Nao Investe,TIPCA,Tesouro IPCA+,15,335.18,capacidade_mensal_pof,recusa_por_inadequacao,0.225,sim,50,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0037,2025-06-02,P2,Marina,Economiza e Nao Investe,TIPCA,Tesouro IPCA+,180,335.18,capacidade_mensal_pof,recusa_por_inadequacao,0.225,nao,0,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0038,2025-06-02,P2,Marina,Economiza e Nao Investe,TIPCA,Tesouro IPCA+,360,335.18,capacidade_mensal_pof,recusa_por_inadequacao,0.200,nao,0,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0039,2025-06-02,P2,Marina,Economiza e Nao Investe,TIPCA,Tesouro IPCA+,720,335.18,capacidade_mensal_pof,recusa_por_inadequacao,0.175,nao,0,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0040,2025-06-02,P2,Marina,Economiza e Nao Investe,TIPCA,Tesouro IPCA+,1080,335.18,capacidade_mensal_pof,recusa_por_inadequacao,0.150,nao,0,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0041,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBI,CDB ate o limite do FGC,15,335.18,capacidade_mensal_pof,calculo_rfl,0.225,sim,50,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0042,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBI,CDB ate o limite do FGC,180,335.18,capacidade_mensal_pof,calculo_rfl,0.225,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0043,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBI,CDB ate o limite do FGC,360,335.18,capacidade_mensal_pof,calculo_rfl,0.200,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0044,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBI,CDB ate o limite do FGC,720,335.18,capacidade_mensal_pof,calculo_rfl,0.175,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0045,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBI,CDB ate o limite do FGC,1080,335.18,capacidade_mensal_pof,calculo_rfl,0.150,nao,0,A,recomendar,rfl_numerico,14.75,14.65,5.53,2025-04,,,
D1-0046,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBS,CDB acima do limite do FGC,15,300000.00,estoque_hipotetico,recusa_por_inadequacao,0.225,sim,50,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
D1-0047,2025-06-02,P2,Marina,Economiza e Nao Investe,CDBS,CDB acima do limite do FGC,180,300000.00,estoque_hipotetico,recusa_por_inadequacao,0.225,nao,0,I,"nao recomendar (vedacao do art. 6o, I, da Res. CVM no 30/2021)",recusa,14.75,14.65,5.53,2025-04,,,
